@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
29,0,1,1,0,0,?
38,1,1,1,0,0,?
32,1,1,0,0,0,?
59,2,2,10,0,2,?
47,3,2,7,0,1,?
49,3,2,8,0,0,?
45,3,2,3,0,1,?
43,2,3,0,0,0,?
29,0,1,1,0,0,?
23,0,0,0,0,0,?
30,0,1,1,0,0,?
24,0,0,0,0,0,?
57,4,2,8,0,2,?
61,1,2,15,0,0,?
100,5,13,0,0,0,?
27,0,1,0,0,0,?
152,12,8,34,0,1,?
136,12,7,34,0,1,?
39,1,1,10,0,0,?
60,3,4,7,0,0,?
32,1,2,1,0,0,?
23,0,1,0,0,0,?
34,0,1,3,0,0,?
23,0,1,0,0,0,?
26,0,1,0,0,0,?
61,5,3,9,0,0,?
91,0,9,9,0,0,?
67,10,4,10,0,0,?
160,13,13,31,0,8,?
110,14,7,39,1,5,?
78,4,4,2,0,4,?
118,9,9,34,1,4,?
23,0,0,0,0,0,?
56,1,3,9,0,0,?
60,2,2,12,0,0,?
30,0,1,0,0,0,?
43,1,2,1,0,0,?
56,3,6,0,0,0,?
29,0,1,1,0,0,?
78,2,3,14,0,0,?
48,2,1,5,0,0,?
68,6,1,27,0,0,?
40,1,1,2,0,0,?
29,0,1,1,0,0,?
25,0,1,0,0,0,?
45,2,4,1,0,0,?
39,0,5,0,0,0,?
43,0,3,0,0,0,?
33,0,3,0,0,0,?
34,0,3,0,0,0,?
34,0,3,0,0,0,?
99,6,8,13,0,0,?
78,5,4,15,0,2,?
23,0,0,0,0,0,?
25,0,2,0,0,0,?
132,9,14,7,0,0,?
84,7,6,0,0,0,?
31,0,4,3,0,0,?
78,6,7,3,0,0,?
23,0,0,0,0,0,?
79,6,11,0,0,0,?
82,2,4,30,0,0,?
66,4,3,16,0,0,?
29,0,1,1,0,0,?
45,2,4,1,0,0,?
30,0,1,0,0,0,?
37,0,2,0,0,0,?
78,6,6,0,0,0,?
78,6,7,3,0,0,?
50,4,1,12,0,0,?
53,2,4,4,0,2,?
34,0,1,3,0,0,?
44,2,2,4,0,0,?
33,0,1,1,0,0,?
69,4,2,6,0,0,?
53,4,3,3,0,0,?
102,3,9,4,0,0,?
83,8,4,3,0,0,?
97,18,0,9,0,0,?
141,8,10,11,0,0,?
41,5,0,0,0,0,?
144,7,11,13,0,0,?
132,5,11,8,0,0,?
122,5,10,8,0,0,?
46,2,1,10,0,0,?
80,9,5,24,0,0,?
33,0,1,1,0,0,?
29,0,1,1,0,0,?
65,4,3,18,0,0,?
45,2,2,3,0,1,?
43,2,3,0,0,0,?
46,3,1,13,0,0,?
23,0,0,0,0,0,?
30,0,1,1,0,0,?
103,14,5,43,0,0,?
67,1,4,2,0,0,?
29,0,1,1,0,0,?
29,0,1,1,0,0,?
94,7,5,35,0,0,?
81,5,4,17,0,0,?
49,0,3,4,0,0,?
117,15,5,63,0,0,?
82,1,6,20,0,0,?
82,2,6,19,0,0,?
41,0,3,0,0,0,?
54,1,2,7,0,0,?
83,3,4,5,0,1,?
46,1,2,2,0,0,?
32,0,2,0,0,0,?
